driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,100.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,81.1502,0.627935,0,43199.0,42655,10.93
500,1100.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,81.1502,0.627935,0,42700.0,42156,22.51
756,700.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,81.1502,0.627935,0,42444.0,41900,44.99
808,800.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,81.1502,0.627935,0,42392.0,41848,33.22
885,700.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,81.1502,0.627935,0,42315.0,41771,43.38
944,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,42256.0,41712,21.77
1164,0.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,42036.0,41492,31.76
1238,100.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41962.0,41418,38.98
1243,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41957.0,41413,54.6
1281,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41919.0,41375,59.11
1320,1200.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41880.0,41336,36.82
1432,1000.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41768.0,41224,34.47
1534,700.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41666.0,41122,35.75
1619,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41581.0,41037,49.73
1665,700.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41535.0,40991,31.79
1759,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,79.4701,4.40378,0,41441.0,40897,33.18
1890,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,41310.0,40766,48.53
1937,700.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,41263.0,40719,48.29
1984,700.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,41216.0,40672,38.22
2044,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,41156.0,40612,31.51
2146,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,41054.0,40510,60.37
2183,700.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,41017.0,40473,63.63
2219,600.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,40981.0,40437,53.76
2262,1100.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,40938.0,40394,32.87
2375,1700.0,100.0,100.0,2.0,7.0,0.0,0.0157,-0.0369831,0.0369831,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,72.1008,2.09114,0,40825.0,40281,31.77
2403,1900.0,100.0,100.0,2.0,7.0,0.00014,0.00135,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,70.6853,2.02223,0,40797.0,40253,43.85
2765,600.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.6853,2.02223,0,40435.0,39891,75.78
2797,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.6853,2.02223,0,40403.0,39859,79.98
2827,500.0,100.0,100.0,6.0,6.0,0.0,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.6853,2.02223,0,40373.0,39829,78.63
2852,200.0,100.0,100.0,6.0,6.0,0.0,0.00019,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.4178,1.53461,0,40348.0,39804,78.63
2857,600.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.4178,1.53461,0,40343.0,39799,80.71
2885,600.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.4178,1.53461,0,40315.0,39771,82.61
2913,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.4178,1.53461,0,40287.0,39743,81.88
2941,700.0,100.0,100.0,6.0,6.0,1e-05,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.4178,1.53461,0,40259.0,39715,79.17
2969,600.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.00699989,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40231.0,39687,82.12
2997,500.0,100.0,100.0,6.0,6.0,1e-05,0.00013,-0.00699989,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40203.0,39659,81.4
3016,200.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40184.0,39640,82.54
3025,100.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40175.0,39631,83.4
3029,500.0,100.0,100.0,6.0,6.0,8e-05,0.00013,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40171.0,39627,84.03
3052,700.0,100.0,100.0,6.0,6.0,8e-05,8e-05,0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40148.0,39604,82.48
3080,600.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40120.0,39576,81.22
3108,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40092.0,39548,83.08
3136,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40064.0,39520,80.72
3165,500.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.5421,0.884076,0,40035.0,39491,82.34
3192,800.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9982,1.84718,0,40008.0,39464,84.2
3219,500.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9982,1.84718,0,39981.0,39437,82.62
3247,800.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9982,1.84718,0,39953.0,39409,84.53
3275,600.0,100.0,100.0,6.0,6.0,2e-05,0.00019,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9982,1.84718,0,39925.0,39381,82.82
3302,400.0,100.0,100.0,5.0,7.0,2e-05,0.00013,-0.00299999,-0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9982,1.84718,0,39898.0,39354,82.27
3322,300.0,100.0,100.0,5.0,6.0,0.00013,0.00015,-0.00499996,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.8416,0.848857,0,39878.0,39334,83.06
3330,500.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00499996,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.8416,0.848857,0,39870.0,39326,84.0
3358,800.0,100.0,100.0,5.0,7.0,0.00015,0.00015,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.8416,0.848857,0,39842.0,39298,81.94
3385,500.0,100.0,100.0,6.0,6.0,2e-05,0.00015,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.8416,0.848857,0,39815.0,39271,82.21
3413,300.0,100.0,100.0,6.0,6.0,2e-05,2e-05,0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39787.0,39243,79.43
3419,400.0,100.0,100.0,6.0,6.0,2e-05,0.00015,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39781.0,39237,79.6
3442,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00699989,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39758.0,39214,72.22
3474,600.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00699989,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39726.0,39182,81.2
3502,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00699989,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39698.0,39154,83.39
3529,600.0,100.0,100.0,5.0,7.0,0.0,0.00015,-0.002,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39671.0,39127,82.19
3557,700.0,100.0,100.0,5.0,7.0,0.00015,0.00015,-0.0139991,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39643.0,39099,78.93
3586,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.0139991,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39614.0,39070,80.18
3615,500.0,100.0,100.0,6.0,6.0,0.0,0.00015,-0.0139991,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.6444,1.50031,0,39585.0,39041,81.1
3643,500.0,100.0,100.0,6.0,6.0,0.0,0.00015,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39557.0,39013,82.19
3659,200.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39541.0,38997,82.27
3671,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39529.0,38985,82.37
3699,600.0,100.0,100.0,5.0,7.0,0.00011,0.00015,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39501.0,38957,83.12
3726,700.0,100.0,100.0,5.0,7.0,0.0,0.00011,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39474.0,38930,83.0
3754,600.0,100.0,100.0,6.0,7.0,1e-05,0.00019,-0.0159986,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39446.0,38902,81.96
3781,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.0159986,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39419.0,38875,81.08
3809,600.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.0159986,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39391.0,38847,80.61
3838,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.0159986,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.3224,2.04114,0,39362.0,38818,82.14
3866,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.1975,1.1467,0,39334.0,38790,81.3
3894,600.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.1975,1.1467,0,39306.0,38762,81.69
3922,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.1975,1.1467,0,39278.0,38734,82.14
3950,100.0,100.0,100.0,6.0,6.0,0.0,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.1975,1.1467,0,39250.0,38706,82.21
3955,400.0,100.0,100.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.2484,0.48198,0,39245.0,38701,81.83
3978,300.0,100.0,100.0,6.0,6.0,0.00018,0.00019,-0.00299999,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,43.2484,0.48198,0,39222.0,38678,81.67
3986,400.0,100.0,100.0,6.0,6.0,0.00018,0.00019,-0.00299999,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.1975,1.1467,0,39214.0,38670,81.91
4006,700.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00299999,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.1975,1.1467,0,39194.0,38650,81.94
4034,600.0,100.0,100.0,6.0,6.0,0.00019,0.00019,-0.00299999,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.1975,1.1467,0,39166.0,38622,82.13
4063,700.0,100.0,100.0,6.0,6.0,0.00015,0.00019,-0.00899976,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.1975,1.1467,0,39137.0,38593,81.91
4092,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,39108.0,38564,81.79
4120,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,39080.0,38536,82.05
4149,500.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,39051.0,38507,80.81
4172,200.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,39028.0,38484,79.22
4179,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,39021.0,38477,80.49
4209,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,38991.0,38447,81.73
4240,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,38960.0,38416,82.11
4269,600.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,38931.0,38387,81.86
4298,300.0,100.0,100.0,6.0,6.0,0.0,0.00015,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,38902.0,38358,81.69
4309,400.0,100.0,100.0,6.0,6.0,0.0,0.00015,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.8027,2.73421,0,38891.0,38347,82.16
4326,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.3883,1.69339,0,38874.0,38330,82.02
4354,500.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.3883,1.69339,0,38846.0,38302,81.95
4382,700.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.3883,1.69339,0,38818.0,38274,81.66
4410,600.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.3883,1.69339,0,38790.0,38246,81.48
4438,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.3883,1.69339,0,38762.0,38218,81.7
4466,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.3883,1.69339,0,38734.0,38190,81.92
4494,600.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.3883,1.69339,0,38706.0,38162,80.86
4523,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.3883,1.69339,0,38677.0,38133,81.39
4552,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.0119994,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38648.0,38104,81.89
4580,600.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38620.0,38076,82.45
4607,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38593.0,38049,81.79
4635,500.0,100.0,100.0,6.0,6.0,1e-05,0.00013,-0.00999967,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38565.0,38021,81.77
4663,700.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38537.0,37993,82.12
4691,400.0,100.0,100.0,5.0,7.0,1e-05,1e-05,-0.00999967,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38509.0,37965,81.64
4708,300.0,100.0,100.0,5.0,6.0,0.0,1e-05,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38492.0,37948,82.24
4719,600.0,100.0,100.0,5.0,7.0,0.0,1e-05,-0.00699989,-0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38481.0,37937,80.92
4747,700.0,100.0,100.0,6.0,6.0,1e-05,0.00013,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0145,2.50257,0,38453.0,37909,81.11
4775,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.5616,1.2189,0,38425.0,37881,81.27
4804,600.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.5616,1.2189,0,38396.0,37852,81.86
4832,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.5616,1.2189,0,38368.0,37824,81.65
4861,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.5616,1.2189,0,38339.0,37795,82.63
4890,700.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.5616,1.2189,0,38310.0,37766,82.3
4919,100.0,100.0,100.0,6.0,6.0,1e-05,0.00013,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.5616,1.2189,0,38281.0,37737,81.06
4925,500.0,100.0,100.0,6.0,6.0,0.00013,0.00013,0.0,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.1241,0.392598,0,38275.0,37731,80.83
4948,600.0,100.0,100.0,6.0,6.0,0.00013,0.00013,0.0,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.1241,0.392598,0,38252.0,37708,81.98
4977,800.0,100.0,100.0,6.0,7.0,0.0,0.00013,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.1241,0.392598,0,38223.0,37679,82.38
5006,600.0,100.0,100.0,5.0,7.0,0.0,0.00013,-0.00299999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,38194.0,37650,81.86
5034,600.0,100.0,100.0,7.0,7.0,1e-05,0.00013,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,38166.0,37622,81.89
5062,700.0,100.0,100.0,5.0,7.0,0.0,1e-05,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,38138.0,37594,81.48
5090,600.0,100.0,100.0,5.0,7.0,0.0,1e-05,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,38110.0,37566,82.0
5118,700.0,100.0,100.0,6.0,7.0,0.0,0.00016,-0.002,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,38082.0,37538,82.25
5146,700.0,100.0,100.0,6.0,7.0,0.00016,0.00016,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,38054.0,37510,82.04
5174,200.0,100.0,100.0,5.0,7.0,0.00016,0.00016,-0.00299999,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,38026.0,37482,81.93
5184,400.0,100.0,100.0,6.0,6.0,0.00016,0.00016,-0.002,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,38016.0,37472,81.28
5203,700.0,100.0,100.0,5.0,7.0,0.0,0.00016,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4942,0.734433,0,37997.0,37453,81.69
5232,700.0,100.0,100.0,6.0,6.0,0.0,0.00016,0.0,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37968.0,37424,81.76
5263,800.0,100.0,100.0,6.0,6.0,0.00016,0.00016,0.0,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37937.0,37393,81.81
5295,100.0,100.0,100.0,6.0,6.0,0.00013,0.00016,-0.00699989,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37905.0,37361,81.23
5300,600.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00899976,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37900.0,37356,79.88
5326,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37874.0,37330,81.09
5356,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37844.0,37300,81.61
5385,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37815.0,37271,82.37
5414,400.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37786.0,37242,81.52
5434,300.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37766.0,37222,81.58
5445,700.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.1801,1.42655,0,37755.0,37211,81.97
