driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
183,512.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.3914,1.58114,0,32217.0,32019,27.89
262,416.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.6187,1.94417,0,32138.0,31940,51.31
292,720.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.6187,1.94417,0,32108.0,31910,68.88
329,624.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,32071.0,31873,77.47
358,640.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,32042.0,31844,78.73
387,624.0,100.0,100.0,4.0,4.0,0.00084,0.00084,-0.00299999,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,32013.0,31815,80.71
415,416.0,100.0,100.0,2.0,4.0,1e-05,0.00084,-0.00899976,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31985.0,31787,80.13
451,928.0,100.0,100.0,2.0,5.0,0.0,0.00124,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31949.0,31751,79.2
475,320.0,0.0,100.0,4.0,5.0,0.00123,0.00125,-0.00499996,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31925.0,31727,79.68
490,896.0,0.0,80.0001,4.0,4.0,0.00124,0.00133,-0.0279927,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31910.0,31712,78.12
530,720.0,80.0001,80.0001,3.0,4.0,0.00066,0.00133,-0.0279927,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31870.0,31672,78.81
563,1120.0,80.0001,80.0001,4.0,5.0,1e-05,0.00109,-0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.7756,2.42384,0,31837.0,31639,79.46
614,224.0,80.0001,80.0001,4.0,5.0,1e-05,1e-05,-0.0169984,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31786.0,31588,77.98
624,768.0,80.0001,100.0,3.0,6.0,1e-05,0.00244,-0.0229959,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,34.7767,4.30386,0,31776.0,31578,73.83
662,816.0,100.0,100.0,3.0,6.0,0.0,0.00244,-0.0229959,0.029991,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,34.7767,4.30386,0,31738.0,31540,73.62
702,160.0,100.0,100.0,5.0,5.0,0.0,1e-05,0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31698.0,31500,74.38
710,1040.0,100.0,100.0,5.0,5.0,0.0,0.0,0.00499996,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31690.0,31492,77.36
756,352.0,100.0,100.0,5.0,5.0,0.0,0.00057,-0.00499996,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31644.0,31446,78.7
772,1184.0,0.0,100.0,3.0,6.0,0.00057,0.00077,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31628.0,31430,78.59
826,1136.0,100.0,100.0,3.0,6.0,1e-05,0.00077,-0.00699989,-0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,34.7767,4.30386,0,31574.0,31376,74.21
881,544.0,100.0,100.0,2.0,6.0,8e-05,0.02834,-0.0169984,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.6755,2.31847,0,31519.0,31321,65.09
910,736.0,100.0,100.0,2.0,6.0,8e-05,0.02834,-0.0169984,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.6755,2.31847,0,31490.0,31292,42.54
973,1120.0,100.0,100.0,2.0,6.0,8e-05,0.02834,-0.0169984,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.6755,2.31847,0,31427.0,31229,49.77
1114,1136.0,100.0,100.0,2.0,6.0,8e-05,0.02834,-0.0169984,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.6755,2.31847,0,31286.0,31088,82.23
1164,1120.0,100.0,100.0,5.0,5.0,0.00054,0.00054,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.6755,2.31847,0,31236.0,31038,78.67
1215,976.0,100.0,100.0,5.0,5.0,0.0006,0.0006,-0.00299999,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,31185.0,30987,79.73
1258,208.0,100.0,100.0,5.0,5.0,0.0006,0.0006,-0.00299999,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,31142.0,30944,80.0
1267,1120.0,100.0,100.0,4.0,6.0,0.00014,0.0006,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,31133.0,30935,79.99
1318,304.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.0119994,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,31082.0,30884,78.91
1333,1168.0,0.0,100.0,4.0,7.0,0.00014,0.00097,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.8172,5.16286,0,31067.0,30869,79.44
1369,1264.0,0.0,100.0,3.0,7.0,0.0003,0.00149,0.00899976,0.0349857,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.8172,5.16286,0,31031.0,30833,76.57
1428,96.0,100.0,100.0,3.0,4.0,0.00149,0.00157,-0.00299999,0.0349857,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,58.9292,13.5834,0,30972.0,30774,63.93
1433,1072.0,100.0,100.0,3.0,6.0,0.00157,0.00163,-0.00499996,0.0349857,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,58.9292,13.5834,0,30967.0,30769,63.87
1493,464.0,100.0,100.0,4.0,6.0,9e-05,0.00158,-0.00299999,0.00699989,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30907.0,30709,80.02
1514,240.0,100.0,100.0,4.0,4.0,0.00079,0.00079,0.00699989,0.00699989,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30886.0,30688,80.08
1524,832.0,100.0,100.0,4.0,5.0,0.00079,0.00081,-0.0189977,0.00699989,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30876.0,30678,80.4
1562,512.0,100.0,100.0,4.0,4.0,9e-05,0.00081,-0.0189977,-0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30838.0,30640,81.69
1584,1136.0,100.0,100.0,4.0,4.0,9e-05,0.00025,-0.0189977,-0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30816.0,30618,82.53
1646,512.0,100.0,100.0,3.0,5.0,0.00025,0.00026,-0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30754.0,30556,79.76
1657,736.0,100.0,100.0,3.0,5.0,0.00025,0.00026,-0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,58.9292,13.5834,0,30743.0,30545,80.76
1690,448.0,100.0,100.0,4.0,4.0,0.00025,0.00046,0.00299999,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.5421,9.82123,0,30710.0,30512,80.44
1710,976.0,100.0,100.0,4.0,4.0,0.00046,0.00046,0.00299999,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30690.0,30492,81.02
1753,32.0,100.0,100.0,4.0,4.0,0.00046,0.00046,0.00299999,0.0309901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30647.0,30449,79.48
1754,784.0,100.0,100.0,4.0,4.0,0.00046,0.00051,0.00299999,0.0349857,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30646.0,30448,74.37
1791,704.0,100.0,100.0,4.0,4.0,0.00048,0.00048,0.00999967,0.0259941,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30609.0,30411,74.87
1824,656.0,100.0,100.0,4.0,4.0,0.0,0.00048,0.00999967,0.0259941,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30576.0,30378,77.43
1855,480.0,100.0,100.0,4.0,4.0,0.0,1e-05,0.00999967,0.00999967,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30545.0,30347,78.12
1877,176.0,100.0,100.0,4.0,4.0,1e-05,1e-05,0.00899976,0.00999967,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30523.0,30325,77.36
1886,672.0,100.0,100.0,4.0,4.0,1e-05,1e-05,0.00899976,0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30514.0,30316,75.83
1917,352.0,100.0,100.0,4.0,4.0,1e-05,1e-05,0.00999967,0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30483.0,30285,75.21
1950,1328.0,100.0,100.0,4.0,4.0,1e-05,0.00028,0.0119994,0.0139991,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102.77,23.6677,0,30450.0,30252,74.68
1980,624.0,100.0,100.0,4.0,4.0,0.00028,0.00055,-0.00899976,0.0139991,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,107.28,28.5945,0,30420.0,30222,71.48
2011,656.0,100.0,100.0,4.0,4.0,0.00055,0.00097,-0.0399787,0.0139991,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,107.28,28.5945,0,30389.0,30191,57.36
2054,640.0,100.0,100.0,4.0,4.0,0.00097,0.00097,-0.0399787,-0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,107.28,28.5945,0,30346.0,30148,67.74
2087,240.0,100.0,100.0,4.0,4.0,0.00097,0.00097,-0.0399787,-0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,107.28,28.5945,0,30313.0,30115,65.69
2100,416.0,0.0,100.0,4.0,4.0,0.0,0.00117,-0.0399787,-0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,107.28,28.5945,0,30300.0,30102,67.77
2122,848.0,0.0,0.0,4.0,4.0,0.00117,0.00117,-0.0279927,-0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,107.28,28.5945,0,30278.0,30080,71.79
2164,496.0,0.0,0.0,4.0,4.0,0.00028,0.00117,-0.0279927,-0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,107.28,28.5945,0,30236.0,30038,76.38
2188,416.0,0.0,100.0,1.0,7.0,5e-05,0.0128,-0.0369831,0.0259941,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,66.9323,13.1319,0,30212.0,30014,24.5
3648,3152.0,80.0001,80.0001,4.0,4.0,0.00092,0.00105,-0.00999967,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,66.9323,13.1319,0,28752.0,28554,76.57
3673,1072.0,80.0001,80.0001,4.0,4.0,0.00091,0.00105,-0.0159986,0.002,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,66.9323,13.1319,0,28727.0,28529,79.2
3721,208.0,80.0001,80.0001,4.0,4.0,0.00091,0.00096,-0.0209969,-0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,66.9323,13.1319,0,28679.0,28481,79.12
3730,704.0,80.0001,80.0001,4.0,4.0,0.00096,0.00099,-0.0209969,-0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,65.438,24.0302,0,28670.0,28472,78.54
3762,608.0,80.0001,80.0001,3.0,5.0,0.00099,0.00101,-0.0209969,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,65.438,24.0302,0,28638.0,28440,80.3
3790,1136.0,80.0001,100.0,3.0,5.0,0.0,0.00101,-0.0189977,0.0169984,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,65.438,24.0302,0,28610.0,28412,79.54
3841,1024.0,80.0001,80.0001,3.0,3.0,0.0,0.00039,0.0,0.0169984,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,65.438,24.0302,0,28559.0,28361,80.0
3913,1248.0,80.0001,80.0001,3.0,4.0,0.00035,0.00039,-0.00899976,0.00999967,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,65.438,24.0302,0,28487.0,28289,79.69
3944,720.0,80.0001,80.0001,3.0,4.0,2e-05,0.00029,-0.0169984,-0.00899976,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.1231,32.9387,0,28456.0,28258,79.63
3977,576.0,80.0001,80.0001,4.0,4.0,0.00029,0.00128,-0.0259941,-0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,64.1231,32.9387,0,28423.0,28225,82.26
4001,352.0,80.0001,80.0001,4.0,4.0,0.00096,0.00128,-0.0279927,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.1231,32.9387,0,28399.0,28201,87.05
4016,784.0,80.0001,80.0001,4.0,4.0,0.00096,0.00096,-0.0279927,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.1231,32.9387,0,28384.0,28186,91.68
4045,592.0,80.0001,80.0001,4.0,4.0,0.00075,0.00096,-0.00299999,0.0399787,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,64.1231,32.9387,0,28355.0,28157,98.09
4068,1152.0,80.0001,80.0001,4.0,4.0,0.00075,0.00075,0.0239954,0.0399787,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,64.1231,32.9387,0,28332.0,28134,85.61
4116,848.0,80.0001,80.0001,4.0,4.0,0.00067,0.00108,0.0169984,0.0399787,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,64.1231,32.9387,0,28284.0,28086,75.99
4156,400.0,80.0001,80.0001,4.0,4.0,0.00089,0.0011,-0.029991,0.0379817,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.1231,32.9387,0,28244.0,28046,73.84
4174,304.0,80.0001,80.0001,4.0,4.0,0.00089,0.00089,-0.0379817,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.859,8.18624,0,28226.0,28028,77.03
4214,1008.0,80.0001,80.0001,4.0,4.0,0.00053,0.00089,-0.0379817,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.859,8.18624,0,28186.0,27988,82.91
4232,720.0,80.0001,80.0001,4.0,4.0,0.00053,0.00053,-0.0379817,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.859,8.18624,0,28168.0,27970,85.15
4262,576.0,80.0001,80.0001,3.0,5.0,0.00024,0.00102,-0.0379817,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.859,8.18624,0,28138.0,27940,86.21
4286,528.0,80.0001,100.0,3.0,5.0,0.00092,0.00109,0.00699989,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.859,8.18624,0,28114.0,27916,86.27
4308,960.0,0.0,100.0,4.0,4.0,0.00086,0.00092,0.00499996,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.859,8.18624,0,28092.0,27894,87.18
4348,80.0,80.0001,80.0001,4.0,5.0,4e-05,0.0009,0.00699989,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,127.195,9.86267,0,28052.0,27854,86.38
4351,1232.0,80.0001,80.0001,3.0,6.0,1e-05,0.00077,0.0119994,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,127.195,9.86267,0,28049.0,27851,79.79
4407,1200.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,151.457,8.36078,0,27993.0,27795,79.56
4462,448.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,151.457,8.36078,0,27938.0,27740,81.94
4480,208.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,131.018,25.0541,0,27920.0,27722,85.52
4514,1072.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,131.018,25.0541,0,27886.0,27688,85.97
4534,272.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,131.018,25.0541,0,27866.0,27668,86.03
4545,1168.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,131.018,25.0541,0,27855.0,27657,86.77
4594,1136.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,131.018,25.0541,0,27806.0,27608,92.78
4638,384.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.2561,7.41642,0,27762.0,27564,84.9
4654,976.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.2561,7.41642,0,27746.0,27548,86.27
4695,1136.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.2561,7.41642,0,27705.0,27507,95.8
4738,1200.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.2561,7.41642,0,27662.0,27464,87.58
4815,1344.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.2561,7.41642,0,27585.0,27387,73.65
4850,368.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.2561,7.41642,0,27550.0,27352,89.66
4865,416.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.022,10.8675,0,27535.0,27337,95.06
4881,800.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.022,10.8675,0,27519.0,27321,95.43
4911,656.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.022,10.8675,0,27489.0,27291,93.42
4936,640.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.022,10.8675,0,27464.0,27266,79.67
4965,112.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27435.0,27237,69.17
4970,560.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27430.0,27232,68.97
5002,800.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27398.0,27200,82.22
5035,640.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27365.0,27167,85.65
5061,112.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27339.0,27141,85.99
5067,784.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27333.0,27135,86.14
5099,768.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27301.0,27103,87.26
5131,368.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27269.0,27071,93.44
5145,992.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27255.0,27057,96.52
5182,80.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27218.0,27020,91.92
5186,560.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.4244,1.11162,0,27214.0,27016,89.21
5208,256.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.4244,1.11162,0,27192.0,26994,89.23
5218,400.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.8967,18.3473,0,27182.0,26984,87.81
5234,672.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,27166.0,26968,68.35
5270,752.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,27130.0,26932,66.05
5311,448.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,27089.0,26891,71.86
5333,480.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,27067.0,26869,60.02
5362,480.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,27038.0,26840,56.72
5416,1024.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,26984.0,26786,55.6
5456,624.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,26944.0,26746,56.51
5495,640.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,26905.0,26707,54.36
5537,672.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.6529,7.68295,0,26863.0,26665,40.68
5597,640.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4572,6.72034,0,26803.0,26605,49.34
5644,624.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4572,6.72034,0,26756.0,26558,56.74
5683,688.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4572,6.72034,0,26717.0,26519,62.77
5722,624.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4572,6.72034,0,26678.0,26480,67.43
5756,624.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4572,6.72034,0,26644.0,26446,74.73
5786,624.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4572,6.72034,0,26614.0,26416,79.64
5814,640.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4572,6.72034,0,26586.0,26388,80.11
5843,656.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.4572,6.72034,0,26557.0,26359,80.11
5872,656.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.4171,7.40011,0,26528.0,26330,79.61
5902,112.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.4171,7.40011,0,26498.0,26300,79.92
5907,608.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.4171,7.40011,0,26493.0,26295,79.59
5935,816.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.4171,7.40011,0,26465.0,26267,79.44
5971,432.0,60.0,60.0,4.0,4.0,0.00223,0.00235,-0.0629169,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.4171,7.40011,0,26429.0,26231,78.16
